//
// Structure of Database:
// GroupID,ItemID,Rate
//
// Mysterious Combination Book Bundle (ID: 23817)
IG_MYSTERIOUS_COMBINATION_BOOK,23818,5 // Large Orc Hero's
IG_MYSTERIOUS_COMBINATION_BOOK,23819,5 // Crimson Rose
IG_MYSTERIOUS_COMBINATION_BOOK,23820,5 // Grand Peco Headdress
IG_MYSTERIOUS_COMBINATION_BOOK,23821,5 // Moonlight Flower Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23822,5 // 8Way Wings of Purgatory
IG_MYSTERIOUS_COMBINATION_BOOK,23823,5 // Dropping Kitty
IG_MYSTERIOUS_COMBINATION_BOOK,23824,5 // World Cup Hat of Honor
IG_MYSTERIOUS_COMBINATION_BOOK,23825,5 // Evil Marching Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23826,5 // Wandering Wolf King Helmet
IG_MYSTERIOUS_COMBINATION_BOOK,23827,5 // Status Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23828,5 // Elegant Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23829,5 // Tension Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23830,5 // Restore Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23831,5 // Healing Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23832,5 // Amistr Cap
IG_MYSTERIOUS_COMBINATION_BOOK,23833,5 // Tiger King Doll Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23834,5 // Bacsojin Doll Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23835,5 // Candy Pouch Bag
IG_MYSTERIOUS_COMBINATION_BOOK,23836,5 // Gold Fish Head Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23837,5 // Survival
IG_MYSTERIOUS_COMBINATION_BOOK,23838,5 // Toy Syringe
IG_MYSTERIOUS_COMBINATION_BOOK,23839,5 // Blue Rear Ribbon
IG_MYSTERIOUS_COMBINATION_BOOK,23840,5 // Magical Booster
IG_MYSTERIOUS_COMBINATION_BOOK,23841,5 // Rosario Necklace
IG_MYSTERIOUS_COMBINATION_BOOK,23842,5 // Elemental Crown
IG_MYSTERIOUS_COMBINATION_BOOK,23843,5 // Guardsman'n Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23844,5 // Bandit's Bandana
IG_MYSTERIOUS_COMBINATION_BOOK,23845,5 // Fallen Angel Blessing
IG_MYSTERIOUS_COMBINATION_BOOK,23846,5 // Rabbit Magic Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23847,5 // Anubis Helm
IG_MYSTERIOUS_COMBINATION_BOOK,23848,5 // Imp Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23849,5 // Red Marching Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23850,5 // Mask of Ifrit
IG_MYSTERIOUS_COMBINATION_BOOK,23851,5 // Dropping Incarnation of Morocc
IG_MYSTERIOUS_COMBINATION_BOOK,23852,5 // Samambaia
IG_MYSTERIOUS_COMBINATION_BOOK,23853,5 // Chick Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23854,5 // Class Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23855,5 // Spell Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23856,5 // Size Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23857,5 // Race Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23858,5 // Stability Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23859,5 // Special Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23860,5 // Physical Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23861,5 // Magical Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23862,5 // EXP Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23863,5 // Mad Bunny
IG_MYSTERIOUS_COMBINATION_BOOK,23864,5 // Archangel's Wings
IG_MYSTERIOUS_COMBINATION_BOOK,23865,5 // Smokey's Transformation Leaf
IG_MYSTERIOUS_COMBINATION_BOOK,23866,5 // Ears of Ifrit
IG_MYSTERIOUS_COMBINATION_BOOK,23867,5 // Heart Wings Hairband
IG_MYSTERIOUS_COMBINATION_BOOK,23868,5 // Sigrun Wings
IG_MYSTERIOUS_COMBINATION_BOOK,23869,5 // Cat Headdress
IG_MYSTERIOUS_COMBINATION_BOOK,23870,5 // Noble Mask
IG_MYSTERIOUS_COMBINATION_BOOK,23871,5 // Gemstone Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23872,5 // Bearer's Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23873,5 // Hasty Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23874,5 // Critical Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23875,5 // Mortal Blow Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23876,5 // Fallen Angel Wings
IG_MYSTERIOUS_COMBINATION_BOOK,23877,5 // Adventurer's Backpack
IG_MYSTERIOUS_COMBINATION_BOOK,23879,5 // Spell Circuit
IG_MYSTERIOUS_COMBINATION_BOOK,23880,5 // New Wave Sunglasses
IG_MYSTERIOUS_COMBINATION_BOOK,23881,5 // Gigant Snake's Breath
IG_MYSTERIOUS_COMBINATION_BOOK,23882,5 // Judge Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23883,5 // Dog Officer
IG_MYSTERIOUS_COMBINATION_BOOK,23884,5 // Classical Feather Hat
IG_MYSTERIOUS_COMBINATION_BOOK,23885,5 // Amistr Beret
IG_MYSTERIOUS_COMBINATION_BOOK,23886,5 // General's Helm
IG_MYSTERIOUS_COMBINATION_BOOK,23887,5 // Cursed Knight's Shield
IG_MYSTERIOUS_COMBINATION_BOOK,23888,5 // Penetration Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23889,5 // Tempest Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23890,5 // Blitz Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23891,5 // Reload Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23892,5 // Force&Spirit Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23893,5 // Infinity Shadow
IG_MYSTERIOUS_COMBINATION_BOOK,23894,5 // Wickebine's Black Cat Ears
